AirportCode|RegionID|ResortID|Priority
ACE|257||1
ADA|4209||1
ADA|5847||1
ADA|6881||1
ADA|4214||1
ADB|4245||1
ADB|8797||1
ADB|4241||1
ADB|8789||1
AGA|3563||1
AGA|5028||1
AGP|4067||1
AGP|4075||1
AGP|4064||1
AGP|4069||1
AGP|4063||1
AGP|4071||1
AGP|4074||2
AGP|4070||2
AGP|4076||2
AGP|4090||2
AGP|3905||2
AGP|4068||2
AGP|4072||2
AGP|4065||2
AGP|4062||2
AGP|3900||2
AGP|4062||2
ALC|4025||1
ALC|8851||1
ALC|8857||1
ALC|9060||1
ALC|4029||1
ALC|6460||1
ALC|4032||1
ALC|4026||1
ALC|4027||1
AMS|14||1
AMS|557||2
AMS|3602||2
AMS|3596||2
AMS|5114||2
AMS|5886||2
AMS|5014||2
AMS|5285||1
AMS|6300||2
AMS|6173||2
AMS|3595||2
AMS|5278||2
AMS|5498||2
AMS|3602||2
AMS|5292||2
AMS|5007||2
AOK|8993||1
APF|4396||1
APF|4411||1
APF|4427||1
APF|4410||1
APF|4424||1
ARN|507||1
ARN|4120||1
ARN|4100||1
ARN|5611||2
ARN|4117||2
ARN|4113||2
ARN|4123||2
ARN|5904||2
ARN|4114||2
ARN|4108||2
ARN|4102||2
ATL|4456||1
ATL|4459||1
ATL|4460||1
ATL|4470||1
ATL|4454||2
ATL|4455||2
ATL|4462||2
ATL|4466||2
ATL|4467||2
ATH|30||1
ATH|3185||1
ATH|3191||2
ATH|3200||2
ATH|3204||2
AUH|4255||1
AUH|4256||2
AUH|149||2
AYT|4224||1
AYT|4232||2
AYT|4227||2
AYT|6445||2
BBU|3789||1
BBU|5831||2
BBU|6091||2
BBU|5378||2
BCN|4932||1
BCN|4080||1
BCN|4935||1
BCN|4931||1
BCN|3927||1
BCN|47||1
BCN|3937||2
BCN|4087||2
BCN|3936||2
BCN|3932||2
BCN|4077||2
BDS|3341||1
BDS|3342||1
BDS|3343||1
BDS|3344||1
BDS|3345||1
BDS|3346||1
BDS|3347||2
BDS|3348||2
BDS|3347||2
BDS|3348||2
BEG|3858||1
BEG|5557||2
BHX|584||1
BHX|2886||1
BHX|2883||1
BHX|2881||1
BHX|2887||1
BHX|2847||2
BHX|2880||2
BHX|2894||2
BHX|2862||2
BHX|2848||2
BHX|2858||2
BHX|2800||2
BHX|2880||2
BHX|2894||2
BHX|2805||2
BHX|2860||2
BHX|2868||2
BHX|2867||2
BHX|2862||2
BHX|2799||2
BHX|2817||2
BHX|2861||2
BIA|123||1
BIO|3940||1
BIO|3941||1
BIO|3944||1
BIO|5344||1
BIO|5716||1
BIO|3949||2
BIO|4021||2
BIO|3942||2
BIO|3963||2
BRE|3125||1
BRE|5163||2
BLQ|3289||1
BLQ|3295||1
BLQ|3293||1
BLQ|3298||1
BLQ|3292||1
BLQ|3296||2
BLQ|3288||2
BLQ|3294||2
BLQ|3301||2
BLQ|3290||2
BLQ|3300||2
BLQ|3301||2
BLQ|3297||2
BRE|5163||1
BRE|6366||2
BRE|6758||2
BRI|3342||1
BRI|3341||1
BRI|3342||1
BRI|3343||1
BRI|3344||1
BRI|3345||1
BRI|3346||1
BRI|3347||2
BRI|3348||2
BRI|3347||2
BRI|3348||2
BRU|72||1
BRU|2385||1
BRU|2389||1
BRU|5051||1
BRU|5376||1
BRU|6342||1
BRU|5246||2
BRU|2393||2
BRU|2388||2
BSL|4128||1
BSL|6089||2
BSL|5347||2
BSL|6515||2
BSL|5546||2
BSL|4126||2
BUD|74||1
BUD|3215||2
BUD|5254||2
BUD|9320||2
CAG|467||1
CDG|3092||1
CDG|390||1
CDG|2968||2
CDG|2969||2
CDG|2995||2
CDG|2996||2
CDG|2997||2
CDG|2998||2
CDG|2999||2
CDG|3000||2
CDG|3001||2
CDG|3035||2
CDG|3036||2
CDG|3037||2
CDG|3057||2
CDG|392||2
CFU|119||1
CFU|2220||1
CFU|2222||1
CGN|638||1
CGN|6281||1
CGN|3141||2
CGN|3144||2
CGN|3152||2
CGN|5748||2
CGN|6746||2
CGN|5350||2
CGN|5269||2
CGN|4904||2
CGN|3156||2
CGN|6635||2
CGN|6655||2
CGN|6711||2
CGN|6729||2
CGN|6626||2
CGN|6701||2
CHQ|130||1
CLY|123||1
CMN|3564||1
CPH|118||1
CPH|4911||1
CPH|7715||1
CPH|5186||1
CPH|6167||1
CPH|4867||1
CPH|4110||1
CPH|4104||1
CPH|7730||1
CPH|7741||1
CPH|7707||1
MMX|4911||1
MMX|118||1
MMX|7741||1
MMX|4110||1
MMX|7730||1
CTA|482||1
CUN|3493||1
CUN|3553||1
CUN|9221||1
CUR|134||1
CUR|9009||1
DBV|4854||1
DBV|2685||2
DJE|4192||1
DJE|4208||1
DJE|6082||1
DME|4850||1
DMK|616||1
DMK|5819||1
DMK|4182||1
DRS|3163||1
DRS|3162||1
DRS|6776||1
DRS|6611||2
DRS|6613||2
DRS|6677||2
DTM|3146||1
DTM|5445||1
DTM|3143||2
DTM|6651||2
DTM|5251||2
DTM|6199||2
DTM|3150||2
DTM|6327||2
DTM|5269||2
DTM|3149||2
DTM|6628||2
DTM|5812||2
DUB|150||1
DUB|3785||2
DUB|6043||2
DUB|5568||2
DUS|4904||1
DUS|3149||1
DUS|3156||1
DUS|6655||1
DUS|6711||1
DUS|5626||2
DUS|5046||2
DUS|3149||2
DUS|6327||2
DUS|3147||2
DUS|5251||2
DUS|5269||2
DUS|5812||2
DUS|6651||2
DUS|6770||2
DUS|3149||2
DUS|638||2
DXB|149||1
DXB|4255||2
DXB|4256||2
EDI|155||1
EDI|1050||1
EDI|1011||1
EDI|918||1
EDI|1039||1
EDI|3825||1
EDI|3824||1
EDI|1067||1
EDI|1044||1
EDI|1030||1
EFL|242||1
ESB|4210||1
FAO|3732||1
FAO|3741||1
FAO|3732||1
FAO|3744||2
FAO|3740||2
FAO|3747||2
FAO|3726||2
FAO|3730||2
FAO|3731||2
FAO|3728||2
FAO|3738||2
FAO|3726||2
FAO|3736||2
FAO|3734||2
FCO|5773||1
FCO|444||1
FCO|3312||1
FCO|3148||1
FCO|5454||2
FCO|5683||2
FCO|3147||2
FCO|4938||2

FDH|3099||1
FDH|5065||2
FDH|5263||2
FDH|5062||2

FKB|3102||1
FKB|6787||2
FKB|3096||2
FKB|5537||2
FKB|3096||2
FKB|4852||2
FKB|3100||2
FKB|5151||2
FKB|6161||2
FKB|6003||2
FKB|6174||2
FKB|3100||2
FKB|6753||2
FKB|3103||2
FKB|6606||2
FKB|6672||2
FKB|5537||2
FMO|5417||1
FMO|3155||1
FMO|6199||2
FMO|5743||2
FMO|5303||2
FMO|5465||2
FMO|3142||2
FMO|6219||2
FMO|5445||2
FRA|3175||1
FRA|630||1
FRA|6779||1
FRA|3130||1
FRA|5349||1
FRA|6681||1
FRA|5998||1
FRA|3133||1
FRA|6732||2
FRA|6751||2
FRA|5349||2
FRA|6703||2
FRA|6642||2
FRA|3131||2
FRA|6766||2
FRA|6198||2
FRA|3154||2
FRA|6681||2
FRA|5703||2
FRA|6703||2
FRA|6642||2
FNC|291||1
FUE|4018||1
GCI|196||1
GDN|3694||1
GDN|5049||2
GLA|181||1
GLA|963||1
GLA|3853||1
GLA|3831||1
GLA|3851||2
GLA|3852||2
GLA|4873||2
GLA|3830||2
GLA|3846||2
GLA|3824||2
GLA|3846||2
GOT|186||1
GOT|4121||2
GOT|5243||2
GOT|4103||2
GOT|4104||2
GOT|4105||2
GOT|4108||2
GOT|5569||2
GOT|4124||2
GPA|599||1
GPA|5135||1
GPA|6132||2
GPA|3194||2
GPA|3197||2
GPA|3183||2
GPA|3195||2
GVA|177||1
GVA|3078||1
GVA|3077||1
GVA|3079||1
GVA|6222||1
GVA|5275||2
GVA|4234||2
GVA|3073||2
GVA|3080||2
GRZ|2363||1
GWT|9194||1
HAJ|3138||1
HAJ|5023||2
HAJ|5381||2
HAJ|5056||2
HAJ|3134||2
HAJ|3137||2
HAJ|3136||2
HAJ|5303||2
HAJ|5465||2
HAJ|6676||2
HAJ|3165||2
HAM|200||1
HAM|6176||2
HAM|4945||2
HAM|5270||2
HAM|3167||2
HAM|5301||2
HAM|5270||2
HDF|6731||1
HDF|6752||1
HDF|6802||1
HEL|2908||1
HEL|2909||1
HEL|2907||1
HEL|6483||1
HEL|6484||1
HER|130||1
HHN|5317||1
HHN|3158||1
HHN|3154||1
HHN|3159||2
HHN|3157||2
HHN|5998||2
HHN|3133||2
HHN|6642||2
HHN|630||2
HKT|622||1
HKT|617||1
HKT|5821||1
HRG|2769||1
HRG|2770||2
IBZ|624||1
INN|2368||1
INN|2370||1
INN|7816||1
INN|7820||1
INN|2370||1
JER|234||1

JFK|4793||1
JFK|4794||1
JFK|2207||1
JFK|5950||1
JFK|4631||1
JFK|8284||1
JFK|352||2
JMK|334||1
JSI|604||1
JTR|465||1
KEF|3224||1
KEF|5619||1
KEF|3226||1
KEF|3227||2
KGD|5656||1
KGS|247||1
KLU|2359||1
KLU|7781||1
KLU|2362||1
KLX|5159||1
KLX|5121||2
KLX|3197||2
KLX|3195||2
KRK|248||1
KRK|3695||2
KTW|3695||1
KTW|248||2
KVA|3190||1
KVA|6370||2
LAX|283||1
LAX|4796||1
LAX|6257||1
LAX|1900||1
LAX|283||1
LCA|135||1
LED|3804||1
LEI|3900||1
LEI|3898||1
LEI|3894||1
LEI|5092||1
LEI|3895||2
LEI|3905||2
LEJ|3164||1
LEJ|6780||1
LEJ|6682||1
