PropertyRoomTypeID|RoomType
1|Single
6|Single
9|Single
14|Single
15|Single
19|Single
8376|Single
8388|Single
8394|Single
8400|Single
8406|Single
8412|Single
8418|Single
8424|Single
8430|Single
8436|Single
8442|Single
8448|Single
8454|Single
8460|Single
8466|Single
8472|Single
8478|Single
8484|Single
8496|Single
8508|Single
8514|Single
8520|Single
8526|Single
8532|Single
8538|Single
8544|Single
8550|Single
8556|Single
8562|Single
8568|Single
8580|Single
8586|Single
8598|Single
8604|Single
8616|Single
8622|Single
8628|Single
8634|Single
8640|Single
8646|Single
8652|Single
8658|Single
8664|Single
8670|Single
8682|Single
8688|Single
8694|Single
8700|Single
8706|Single
8712|Single
8718|Single
8724|Single
8730|Single
8736|Single
8742|Single
8748|Single
8754|Single
8761|Single
8766|Single
8772|Single
8778|Single
8784|Single
8796|Single
8802|Single
8808|Single
8820|Single
8826|Single
8832|Single
8838|Single
8844|Single
8850|Single
8856|Single
8868|Single
8874|Single
8880|Single
8886|Single
8892|Single
8898|Single
8910|Single
8916|Single
8922|Single
8928|Single
8934|Single
8940|Single
8952|Single
8958|Single
8964|Single
8970|Single
8976|Single
8982|Single
9000|Single
9006|Single
9024|Single
9030|Single
9036|Single
9042|Single
9048|Single
9054|Single
9060|Single
9066|Single
9072|Single
9078|Single
9084|Single
9090|Single
9096|Single
9102|Single
9108|Single
9114|Single
9120|Single
9126|Single
9132|Single
9144|Single
9150|Single
9156|Single
9162|Single
9168|Single
9174|Single
9180|Single
9186|Single
9198|Single
9204|Single
9210|Single
9216|Single
9222|Single
9228|Single
9234|Single
9240|Single
9246|Single
9258|Single
9264|Single
9270|Single
9276|Single
9282|Single
9288|Single
9294|Single
9300|Single
9306|Single
9312|Single
9318|Single
9324|Single
9330|Single
9336|Single
9342|Single
9348|Single
9354|Single
9360|Single
9366|Single
9372|Single
9378|Single
9384|Single
9408|Single
9414|Single
9420|Single
9426|Single
9432|Single
9438|Single
9444|Single
9450|Single
9462|Single
9468|Single
9474|Single
9480|Single
9486|Single
9492|Single
9498|Single
9504|Single
9510|Single
9516|Single
9522|Single
9528|Single
9534|Single
9540|Single
9546|Single
9558|Single
9564|Single
9570|Single
9576|Single
9588|Single
9594|Single
9600|Single
9606|Single
9612|Single
9618|Single
9630|Single
9636|Single
9642|Single
9648|Single
9654|Single
9666|Single
9672|Single
9678|Single
9684|Single
9690|Single
9696|Single
9702|Single
9708|Single
9714|Single
9720|Single
9726|Single
9732|Single
9738|Single
9744|Single
9750|Single
9756|Single
9762|Single
9768|Single
9774|Single
9786|Single
9792|Single
9798|Single
9804|Single
9810|Single
9834|Single
9840|Single
9846|Single
9852|Single
9858|Single
9864|Single
9870|Single
9876|Single
9882|Single
9888|Single
9894|Single
9900|Single
9906|Single
9912|Single
9918|Single
9924|Single
9936|Single
9942|Single
9948|Single
9954|Single
9960|Single
9966|Single
9972|Single
9978|Single
9984|Single
9990|Single
9996|Single
10002|Single
10008|Single
10014|Single
10020|Single
10026|Single
10032|Single
10038|Single
10044|Single
10050|Single
10056|Single
10062|Single
10068|Single
10074|Single
10080|Single
10086|Single
10092|Single
10098|Single
10104|Single
10110|Single
10116|Single
10122|Single
10128|Single
10140|Single
10146|Single
10152|Single
10158|Single
10164|Single
10176|Single
10182|Single
10188|Single
10200|Single
10212|Single
10218|Single
10230|Single
10236|Single
10242|Single
10254|Single
10260|Single
10266|Single
10272|Single
10278|Single
10284|Single
10290|Single
10302|Single
10308|Single
10314|Single
10320|Single
10326|Single
10332|Single
10338|Single
10344|Single
10350|Single
10356|Single
10362|Single
10374|Single
10380|Single
10386|Single
10392|Single
10398|Single
10404|Single
10416|Single
10422|Single
10428|Single
10434|Single
10440|Single
10446|Single
10452|Single
10458|Single
10470|Single
10476|Single
10482|Single
10488|Single
10494|Single
10500|Single
10506|Single
10512|Single
10518|Single
10524|Single
10530|Single
10536|Single
10542|Single
10554|Single
10560|Single
10572|Single
10578|Single
10584|Single
10590|Single
10596|Single
10602|Single
10608|Single
10614|Single
10620|Single
10626|Single
10632|Single
10644|Single
10650|Single
10656|Single
10662|Single
10668|Single
10680|Single
10692|Single
10698|Single
10704|Single
10710|Single
10716|Single
10722|Single
10728|Single
10734|Single
10740|Single
10746|Single
10752|Single
10764|Single
10770|Single
10776|Single
10782|Single
10788|Single
10794|Single
10800|Single
10806|Single
10812|Single
10818|Single
10824|Single
10830|Single
10836|Single
10842|Single
10848|Single
10860|Single
10866|Single
10872|Single
10878|Single
10884|Single
10890|Single
10896|Single
10908|Single
10920|Single
10926|Single
10938|Single
10944|Single
10950|Single
10962|Single
10968|Single
10974|Single
10980|Single
10992|Single
10998|Single
11004|Single
11010|Single
11016|Single
11022|Single
11028|Single
11034|Single
11040|Single
11046|Single
11058|Single
11064|Single
11082|Single
11094|Single
11100|Single
11106|Single
11112|Single
11118|Single
11124|Single
11130|Single
11136|Single
11148|Single
11160|Single
11172|Single
11208|Single
11232|Single
11238|Single
11244|Single
11256|Single
11262|Single
11274|Single
11280|Single
11286|Single
11292|Single
11298|Single
11304|Single
11310|Single
11316|Single
11322|Single
11328|Single
11334|Single
11340|Single
11346|Single
11352|Single
11358|Single
11364|Single
11370|Single
11376|Single
11382|Single
11388|Single
11394|Single
11400|Single
11406|Single
11412|Single
11418|Single
11424|Single
11430|Single
11436|Single
11442|Single
11448|Single
11460|Single
11466|Single
11472|Single
11478|Single
11484|Single
11490|Single
11496|Single
11502|Single
11508|Single
11520|Single
11526|Single
11532|Single
11538|Single
11556|Single
11562|Single
11568|Single
11574|Single
11580|Single
11586|Single
11592|Single
11598|Single
11604|Single
11610|Single
11616|Single
11634|Single
11640|Single
11670|Single
11676|Single
11682|Single
11688|Single
11694|Single
11700|Single
11706|Single
11712|Single
11718|Single
11724|Single
11730|Single
11736|Single
11742|Single
11748|Single
11754|Single
11760|Single
11766|Single
11772|Single
11778|Single
